source_medium	campaignName	campaignKeyword	deviceType_standard	day_of_week	campaignContent	nb_conversions	nb_visits	conversion_rate
www.googleadservices.com/referral	none	not_set	not_set	not_set	not_set	3	29	10.34
yandex/cpc	33205642.podarki_zhenshchinam_rf_poisk	not_set	not_set	not_set	not_set	236	1310	18.02
www.google.ru/organic	none	not_set	not_set	not_set	not_set	2359	7520	31.37
spb.confaelshop.ru/direct entry	none	not_set	not_set	not_set	not_set	10	21	47.62
none	goods	not_set	not_set	not_set	not_set	35	34	102.94
none	32564661.bukety_set	not_set	not_set	not_set	not_set	122	342	35.67
none	adwords (image)	not_set	not_set	not_set	not_set	16	84	19.05
none	32725060.otkrytki_mo_set	not_set	not_set	not_set	not_set	15	39	38.46
none	32469844.brendovie_rf_poisk	not_set	not_set	not_set	not_set	166	113	146.9
yandex/cpc	32559838.bukety_poisk	not_set	not_set	not_set	not_set	143	407	35.14
none	33416270.8_marta_rf_mkb	not_set	not_set	not_set	not_set	49	62	79.03
www.google.com/organic	none	not_set	not_set	not_set	not_set	331	1245	26.59
s4s-eu1.net/referral	none	not_set	not_set	not_set	not_set	37	21	176.19
none	33216759.podarki_zhenshchinam_rf_set	not_set	not_set	not_set	not_set	5	21	23.81
yandex/cpc	32725021.zabitoe_v_korzine_mo_set	not_set	not_set	not_set	not_set	31	46	67.39
yandex/cpc	32725044.tovarnaya_mo_set	not_set	not_set	not_set	not_set	222	270	82.22
none	32725025.tovarnaya_mo_poisk	not_set	not_set	not_set	not_set	20	33	60.61
none	32725023.deti_mo_poisk	not_set	not_set	not_set	not_set	20	70	28.57
none	33196823.8_marta_mo_poisk	not_set	not_set	not_set	not_set	2393	6453	37.08
www.yandex.ru/organic	none	not_set	not_set	not_set	not_set	56	69	81.16
tpc.googlesyndication.com/referral	none	not_set	not_set	not_set	not_set	62	326	19.02
yandex.ru/organic	none	not_set	not_set	not_set	not_set	280	419	66.83
googleads.g.doubleclick.net/referral	none	not_set	not_set	not_set	not_set	25	219	11.42
none	32561688.otkrytki_rf_set	not_set	not_set	not_set	not_set	21	64	32.81
yandex/cpc	32505035.tovarnaya_rf_set	not_set	not_set	not_set	not_set	96	131	73.28
none	33205642.podarki_zhenshchinam_rf_poisk	not_set	not_set	not_set	not_set	329	1567	21
none	8_march	not_set	not_set	not_set	not_set	17	26	65.38
yandex/cpc	32725023.deti_mo_poisk	not_set	not_set	not_set	not_set	11	63	17.46
